A,B,C,D,E,F,G,H,I,action
-1,5.863969,4.21677,7.096758,4.988206,-43.61123,0.2791606,-20.74911,15.10021,LEFT_ACCELERATE
-1,5.604287,4.111663,7.31614,5.12077,-43.48617,0.2791632,-22.26723,15.20255,LEFT_ACCELERATE
-1,5.68365,3.951486,7.232625,5.271416,-43.31919,0.2791605,-23.75707,15.3032,ACCELERATE
-1,6.124946,3.860968,6.983995,5.339493,-43.16154,0.2791611,-25.23384,15.40291,ACCELERATE
-1,7.042193,3.889855,6.662249,5.319873,-42.99942,0.2791601,-26.75892,15.50587,LEFT_ACCELERATE
-1,7.468267,3.936476,6.55298,5.274195,-42.7775,0.2791647,-28.16934,15.60183,LEFT_ACCELERATE
-1,6.873885,3.91567,6.717257,5.284259,-42.38112,0.2791868,-29.59277,15.70128,LEFT_ACCELERATE
-1,5.673968,3.772701,7.263982,5.444962,-41.7377,0.2792102,-30.96515,15.80345,LEFT_ACCELERATE
-1,4.582447,3.50651,8.147421,5.803229,-40.87766,0.2792178,-32.1425,15.90184,LEFT_ACCELERATE
-1,3.597234,3.099329,9.329422,6.367483,-39.79573,0.2792186,-33.14949,16.00172,LEFT_ACCELERATE
-1,2.742872,2.553431,-1,7.053957,-38.54642,0.2792038,-33.96095,16.10235,LEFT_ACCELERATE
-1,1.929933,1.830625,-1,7.77638,-37.12503,0.2791854,-34.65591,16.20885,LEFT_ACCELERATE
-1,1.310339,1.184759,-1,8.277754,-35.81109,0.2791714,-35.23371,16.30525,LEFT_ACCELERATE
-1,0.8810979,0.7266391,-1,8.571803,-34.48832,0.2791645,-35.84425,16.40309,ACCELERATE
-1,0.8165508,0.5555366,-1,8.652733,-33.21572,0.2791573,-36.55993,16.50147,ACCELERATE
-1,1.062331,0.6531326,9.979649,8.578856,-31.93324,0.27916,-37.3811,16.60374,ACCELERATE
-1,1.675372,0.8942033,9.382233,8.428778,-30.70896,0.2791599,-38.15551,16.701,ACCELERATE
-1,2.909303,1.287016,8.736576,8.184995,-29.43995,0.2791605,-38.94931,16.8015,LEFT_ACCELERATE
-1,4.519567,1.759272,8.203977,7.790825,-28.0982,0.2791636,-39.70938,16.90512,LEFT_ACCELERATE
-1,4.918711,2.124814,7.94465,7.374427,-26.75379,0.2791845,-40.2838,17.00351,LEFT_ACCELERATE
-1,4.530168,2.349653,7.311263,6.578274,-25.32125,0.2791919,-40.65591,17.10319,LEFT_ACCELERATE
-1,4.297235,2.500511,5.161639,4.296168,-23.85809,0.2791813,-40.85199,17.20247,LEFT_ACCELERATE
-1,4.344656,2.636258,4.302573,3.474034,-22.32794,0.2791687,-40.98746,17.30562,ACCELERATE
-1,4.579821,2.778733,4.315367,3.48457,-20.92694,0.279162,-41.12881,17.40017,ACCELERATE
-1,4.868162,2.952394,4.328039,3.495946,-19.43465,0.2791618,-41.30047,17.50102,ACCELERATE
-1,-1,-1,4.335663,3.502892,-17.90735,0.2791602,-41.4903,17.60435,ACCELERATE
-1,-1,-1,4.339908,3.506773,-16.43144,0.2791597,-41.68238,17.70426,ACCELERATE
-1,-1,-1,4.342289,3.508974,-15.01632,0.2791605,-41.87177,17.80012,ACCELERATE
-1,-1,-1,4.343979,3.510508,-13.48384,0.2791599,-42.08068,17.90395,ACCELERATE
-1,-1,-1,4.344623,3.511122,-12.02205,0.2791606,-42.2824,18.00302,ACCELERATE
-1,-1,-1,4.345335,3.511745,-10.49458,0.2791598,-42.49487,18.10655,ACCELERATE
-1,-1,-1,4.345332,3.511759,-9.083014,0.2791609,-42.69222,18.20224,ACCELERATE
-1,-1,-1,4.326747,3.494612,-7.611395,0.2791603,-42.89812,18.302,LEFT_ACCELERATE
-1,-1,-1,3.207496,2.499528,-6.094361,0.2791618,-43.06419,18.40452,LEFT_ACCELERATE
-1,-1,-1,0.7414144,0.5358147,-4.622175,0.2791789,-43.07603,18.50357,LEFT_ACCELERATE
-1,-1,-1,2.821825,2.173834,-3.151266,0.279176,-42.91323,18.60309,LEFT_ACCELERATE
-1,-1,-1,3.802645,3.020567,-1.658935,0.2791678,-42.67052,18.70462,LEFT_ACCELERATE
-1,-1,-1,5.013381,4.145369,-0.2116524,0.2791636,-42.39494,18.80359,LEFT_ACCELERATE
-1,6.789061,5.065648,6.435832,4.179011,1.182579,0.2791803,-41.98987,18.90126,LEFT_ACCELERATE
-1,7.310107,5.306231,5.605823,3.95273,2.528557,0.2791859,-41.38945,19.00047,LEFT_ACCELERATE
-1,7.641268,5.591156,5.159073,3.664559,3.840761,0.2791809,-40.64008,19.10203,LEFT_ACCELERATE
-1,8.067234,5.892145,4.614088,3.381899,5.048398,0.279182,-39.80428,19.20082,LEFT_ACCELERATE
-1,8.776132,6.297909,3.860085,3.037098,6.168461,0.2791945,-38.7694,19.3035,LEFT_ACCELERATE
-1,9.278195,6.715755,3.278233,2.612874,7.116227,0.2791833,-37.66848,19.40118,LEFT_ACCELERATE
-1,9.326813,7.031373,2.96044,2.222573,8.084194,0.2791702,-36.44806,19.50578,LEFT_ACCELERATE
-1,9.399116,7.256934,2.713655,1.972999,8.917683,0.2791666,-35.31634,19.60022,LEFT_ACCELERATE
